intptlat,intptlong,zcta5
42.50152588,-71.06748962,1880
42.58554077,-71.44024658,1886
42.56464767,-71.16451263,1887
42.45275116,-71.14431763,1890
42.4604187,-70.94638062,1901
42.47103882,-70.94153595,1902
42.49245453,-70.97393036,1904
42.4659996,-70.97579193,1905
42.46843338,-71.01394653,1906
42.47414398,-70.90659332,1907
42.42825699,-70.92604065,1908
42.85129166,-70.95581055,1913
42.57066345,-70.86758423,1915
42.68310928,-71.01833344,1921
42.75731277,-70.91423798,1922
42.57417297,-70.95051575,1923
42.64041901,-70.77117157,1929
42.61991119,-70.68182373,1930
42.58572388,-70.98405457,1937
42.68386078,-70.84266663,1938
42.53414536,-71.03833008,1940
42.57663727,-70.76715088,1944
42.50183487,-70.85912323,1945
42.60666656,-71.01031494,1949
42.81235886,-70.89109802,1950
42.77334976,-70.8502121,1951
42.84479141,-70.84147644,1952
42.53427887,-70.96977997,1960
42.64071655,-70.62024689,1966
42.72087479,-70.89122009,1969
42.52443314,-70.87085724,1970
42.62622452,-70.85723114,1982
42.64138031,-70.9434433,1983
42.60063171,-70.88330078,1984
42.79956436,-70.96443176,1985
42.07668304,-71.4744873,2019
42.17573547,-71.12538147,2021
42.23644257,-70.81430817,2025
42.24687195,-71.17945862,2026
42.23416138,-71.29116821,2030
42.15688324,-71.21618652,2032
42.06133652,-71.24580383,2035
42.08485794,-71.41056824,2038
42.21609879,-70.88127136,2043
42.29225159,-70.92391968,2045
42.13391495,-70.68603516,2047
42.01730347,-71.21640778,2048
42.11513901,-70.71033478,2050
42.18460083,-71.30530548,2052
42.15620422,-71.43034363,2053
42.17310333,-71.36375427,2054
42.11366272,-71.33755493,2056
42.16456985,-70.81884766,2061
42.18735886,-71.19595337,2062
42.20227432,-70.75818634,2066
42.10760117,-71.18183136,2067
42.10342407,-71.27359009,2071
42.11900711,-71.10365295,2072
42.14669037,-71.2705307,2081
42.21964645,-71.21676636,2090
42.05266953,-71.3568573,2093
42.35775757,-71.06490326,2108
42.3670311,-71.05049133,2109
42.36196136,-71.04784393,2110
42.35051727,-71.0590744,2111
42.36532974,-71.05522919,2113
42.36317444,-71.06864929,2114
42.3371048,-71.10569763,2115
42.35057831,-71.07640076,2116
42.33758163,-71.07048035,2118
42.32402802,-71.08501434,2119
42.33208847,-71.09654236,2120
42.30626678,-71.08589935,2121
42.29141235,-71.04216003,2122
42.28580475,-71.0705719,2124
42.31568146,-71.05555725,2125
42.27422714,-71.09741974,2126
42.33499146,-71.03909302,2127
42.36120224,-71.00704956,2128
42.37965775,-71.06148529,2129
42.30917358,-71.1138382,2130
42.28433228,-71.12622833,2131
42.28045654,-71.16201782,2132
42.35801697,-71.1286087,2134
42.34968948,-71.15396118,2135
42.25508118,-71.12921906,2136
42.37963867,-71.13515472,2138
42.36298752,-71.10335541,2139
42.39215851,-71.13399506,2140
42.37030029,-71.08255768,2141
42.36146927,-71.0819931,2142
42.38140488,-71.09671021,2143
42.39965439,-71.12255096,2144
42.39157867,-71.08991241,2145
42.42937851,-71.05870819,2148
42.40593719,-71.05464935,2149
42.39682388,-71.03134918,2150
42.41828918,-71.00125122,2151
42.3730545,-70.97480774,2152
42.42383957,-71.10767365,2155
42.36616898,-71.12284851,2163
42.24838638,-71.00228119,2169
42.26641464,-71.01557922,2170
42.29332733,-71.01819611,2171
42.45572281,-71.059021,2176
42.47420883,-71.09766388,2180
42.2061882,-71.00231934,2184
42.24155807,-71.08243561,2186
42.2045784,-70.95775604,2188
42.20978165,-70.92817688,2189
42.16673279,-70.95236206,2190
42.24345398,-70.94203186,2191
42.34747696,-71.08203125,2199
42.36058807,-71.05873871,2203
42.34747314,-71.03926849,2210
42.34763336,-71.10308075,2215
42.07836914,-71.04230499,2301
42.08890533,-70.99837494,2302
